timestamp,activity
20230808-231616,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, and working on a screen sharing project using GPT-4 to create sample data, while also managing their email labels and notes."
20230808-231650,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, and working on a screen sharing project using GPT-4 to create sample data, while also managing their email labels and notes."
20230808-231726,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, and managing their email labels and notes. They are also working on a screen sharing project using GPT-4 to create sample data."
20230808-231800,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, and managing their email labels and notes. They are also working on a screen sharing project using GPT-4 to create sample data."
20230808-231835,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, managing their email labels and notes, and working on a screen sharing project using GPT-4 to create sample data."
20230808-231910,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, managing their email labels and notes, and working on a screen sharing project using GPT-4 to create sample data."
20230808-231945,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, managing their email labels and notes, and working on a screen sharing project using GPT-4 to create sample data."
20230808-232020,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, managing their email labels and notes, and working on a screen sharing project using GPT-4 to create sample data."
20230808-232055,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, and working on a screen sharing project using GPT-4 to create sample data."
20230808-232130,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, and working on a screen sharing project using GPT-4 to create sample data."
20230808-232205,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, and working on a screen sharing project using GPT-4 to create sample data."
20230808-232239,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, and working on a screen sharing project using GPT-4 to create sample data."
20230808-232314,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, and working on a screen sharing project. They are also using GPT-4 to create sample data."
20230808-232349,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, and working on a screen sharing project. They are also using GPT-4 to create sample data."
20230808-232423,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, and working on a screen sharing project. They are also using GPT-4 to create sample data."
20230808-232458,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, and working on a screen sharing project. They are also using GPT-4 to create sample data."
20230808-232533,"The person is checking their calendar for the week of August X and making plans for various activities and meetings throughout the day."
20230808-232607,"The person is logging into their Brex account on Firefox."
20230808-232639,"The person is reviewing their financial transactions and expenses on Brex."
20230808-232713,"The person is reviewing updates and financial information on the Brex card platform."
20230808-232746,"The person is composing an email with the subject ""July financials attached, AND ty X"" and discussing various topics related to finances and credit cards."
20230808-232822,"The person is using Gmail to read and compose emails, and they are also managing their inbox and accessing various folders and labels. They are discussing financials with someone and requesting actions related to QBO, Brex, and Gusto. They are also using GMass for email automation and tracking."
20230808-232856,"The person is checking their email in Gmail and organizing their inbox."
20230808-232929,"The person is reviewing financial statements and balance sheets."
20230808-233002,"The person is reviewing financial statements and analyzing cash burn and cash balance."
20230808-233035,"The person is reviewing financial statements and expenses in Firefox."
20230808-233108,"The person is reviewing financial statements and expenses."
20230808-233140,"The person is reviewing financial statements and expenses from July."
20230808-233214,"The person is reviewing financial statements and analyzing cash disbursements and receipts."
20230808-233247,"The person is checking their email and reviewing financial details sent by Stu Pollack."
20230808-233320,"The person is reviewing financials in Gmail and asking for details about consulting fees and professional fees."
20230808-233353,"The person is using Firefox to access their Gmail account and read an email from Stu Pollack regarding financials and consulting fees."
20230808-233427,"The person is using Twitter and reading tweets about various topics, including machine learning and job referrals based on ethnic background."
20230808-233501,"The person is browsing a website and reading about someone's research projects and contact information."
20230808-233534,"The person is using Firefox to browse Twitter and read tweets about frustrations with using LLMs in production and a LinkedIn recommendation for finding a referral based on ethnic background, and they also mention being flown out to Mongolia to speak at a creator summit."
20230808-233608,"The person is browsing Twitter and reading tweets about relationships."
20230808-233640,"The person is reading and tweeting on Twitter, specifically looking at a tweet from Jack Forge and contemplating social interactions."
20230808-233714,"The person is using Firefox to access Twitter and view a tweet by Angie Gonzalez about working on a project with others."
20230808-233747,"The person is using Firefox to browse Twitter and read posts from different users."
20230808-233821,"The person is reading updates on Twitter about various topics including calendars, internet hall of fame, and UFO sightings."
20230808-233854,"The person is browsing Twitter and reading tweets about the replication of GPT-4 performance and the concept of creation and destruction."
20230808-233927,"The person is using Firefox to access Twitter and viewing a tweet from the user @RizzHOF."
20230808-234001,"The person is browsing Twitter and reading tweets about various topics such as drama on the platform, political parties, and voting in 2024."
20230808-234034,"The person is using Firefox to check their email and read a message about progress on a project involving OCR and GPT-3.5. They are also discussing signing a co-founder agreement and expressing excitement about the project."
20230808-234108,"The person is using the Firefox browser and accessing their Gmail account, specifically viewing an email conversation with someone named Evan from generativecounsel.com."
20230808-234142,"The person is using the Firefox browser and accessing their Gmail account, specifically looking at an email from Evan at generativecounsel.com and considering a response."
20230808-234215,"The person is using Firefox to access their Gmail inbox and read and respond to an email conversation with someone named Evan about collaborating on a project."
20230808-234249,"The person is composing an email in Gmail, discussing arrangements and experiences with co-founders."
20230808-234322,"The person is using the Firefox browser and accessing their Gmail inbox, composing an email, and discussing arrangements with someone named Evan."
20230808-234356,"The person is using Firefox to access their Gmail account and read and respond to an email conversation."
20230808-234429,"The person is composing an email in Gmail to Evan from Felvin, discussing taking ownership of tech and development."
20230808-234502,"The person is using Firefox to access their email and calendar, and then browsing Twitter to read and interact with tweets. They are also involved in creating prompts and models for a Fine-Tuner at a community Discord."
20230808-234537,"The person is reading and responding to congratulatory messages on social media about their promotion and potential wealth."
20230808-234610,"The person is using Firefox to browse Twitter and is reading tweets about Taylor Swift's performance, expressing amazement and discussing it with others."
20230808-234644,"The person is composing an email in Gmail and organizing their inbox with labels and folders."
20230808-234716,"The person is composing an email in Gmail and discussing taking ownership of tech and development."
20230808-234751,"The person is composing an email in Gmail and discussing taking ownership of tech and development."
20230808-234824,"The person is reading and responding to an email conversation with someone named Evan about a potential co-founder arrangement and their involvement in a tech and development project."
20230808-234858,"The person is using Firefox to access their email, calendar, and Twitter, and they are reading and responding to tweets about various topics."
20230808-234932,"The person is reading an article about LK-99 and its properties on Wikipedia using Firefox."
20230808-235007,"The person is reading and researching about experimental studies and properties of a material called LK-99 on the Wikipedia page."
20230808-235041,"The person is researching and reading about the superconductor LK-99 on Wikipedia."
20230808-235116,"The person is using Firefox to browse Wikipedia and reading an article about the video game Kingdom Two Crowns."
20230808-235150,"The person is trying to log in to their Wikipedia account but entered an incorrect username or password."
20230808-235223,"The person is using Firefox to search for the conversion of 310 Kelvin to Celsius."
20230808-235255,"The person is using the Firefox browser to search for information about Fahrenheit temperature scale on Wikipedia."
20230808-235330,"The person is searching for information about Fahrenheit temperature scale on Wikipedia using Firefox."
20230808-235404,"The person is using Firefox to browse the internet and read a Twitter thread discussing the superconducting behavior of LK-99 and its potential applications."
20230808-235438,"The person is using Firefox to access their email inbox and social media accounts, specifically Twitter, where they are following AI-related accounts and browsing NFT deals. They also mention their increasing popularity on social media and express some disappointment. Additionally, they mention a CEO's statement about AI timelines and share a tweet from an account called ""elon alerts."""
20230808-235513,"The person is checking their email in Firefox and organizing their inbox."
20230808-235549,"The person is reading a book."
20230808-235751,"The person is having a conversation with someone named Harsh Gupta about their startup progress and scheduling a meeting."
20230808-235825,"The person is using Google Chrome to view their calendar and schedule for August 2023, including meetings, lunch plans, and a demo day and reception at Inception Studio."
20230808-235900,"The person is having a conversation and scheduling a meeting with someone named Harsh Gupta about their startup idea."
20230808-235934,"The person is participating in a Slack community focused on immigration, specifically discussing O-1 visas and sharing news and information."
20230809-000009,"The person is discussing immigration-related topics and seeking advice on hiring a candidate applying for an O-1 visa."
20230809-000045,"The person is browsing a website related to O-1 Visa and gathering information about the visa screening process and evidence gathering."
20230809-000117,"The person is using the VFS Global website to create a new application for passport and consular services to India in the United States of America."
20230809-000151,"The person is browsing and managing listings for various furniture items on a platform, including a clothing rack, a nightstand, a queen headboard, and a glass whiteboard."
20230809-000224,"The person is checking their Gmail inbox and contemplating what they have been doing, possibly wasting time, and considering a follow-up email."
20230809-002437,"The person is using Gmail to compose an email and is discussing the mindset of testing limits and pushing boundaries."
20230809-002510,"The person is composing an email in Gmail and discussing the mindset of pushing boundaries and exploring potential."
20230809-002544,"The person is using Gmail and composing an email while reflecting on the importance of pushing boundaries and exploring the potential of their ideas."
20230809-002617,"The person is reading a note or message and making plans for the day."
20230809-002651,"The person is using Gmail to search through their emails and is contemplating what to do in the next hour."
20230809-002724,"The person is using Safari to access Gmail and is viewing their inbox and other folders, as well as reading and composing emails. They are also planning their next steps for a project and making notes."
20230809-002758,"The person is using Gmail and contemplating what to do in the next hour, including clearing sticky notes and planning the next steps for the MVP."
20230809-002831,"Based on the OCR of the screenshot, the person is using Gmail and exploring different features and options within the email client. They are also mentioning a software called ""pyautogui"" and discussing the idea of a silent assistant that can search the knowledge base based on what the user is doing."
20230809-002905,"The person is using the Stickies application on their computer to create and save notes. They are also mentioning being rate limited on a website and discussing finishing an MVP (Minimum Viable Product) this week."
20230809-002939,"The person is using Google Docs to work on an MVP, making notes, outlining, and planning tasks."
20230809-003013,"The person is checking their Gmail inbox, composing an email, and planning the next steps for the MVP."
20230809-003046,"The person is using Gmail to check their inbox, chat, and starred messages, and is also drafting an email and planning the next steps for the MVP."
20230809-003119,"The person is checking their Gmail inbox and planning their tasks for the next hour."
20230809-003151,"The person is using Gmail to check their inbox, compose a new email, and manage their drafts and labels. They are also snoozing notes and planning the next steps for their MVP."
20230809-003228,"The person is using Gmail to check their inbox, chat, and starred emails, and is also drafting an email and planning the next steps for the MVP."
20230809-003301,"The person is using Gmail to check their inbox, compose a new email, and plan the next steps for the MVP."
20230809-003334,"The person is checking their Gmail inbox and planning their tasks for the next hour or so."
20230809-003406,"The person is using Gmail to check their inbox, compose a new email, and organize their emails by labeling, replying, and forwarding. They also have some notes and tasks related to planning the next steps for a Minimum Viable Product (MVP)."
20230809-003440,"The person is checking their Gmail inbox and planning their next steps for the MVP."
20230809-003514,"The person is checking their Gmail inbox, drafting an email, and organizing their tasks and notes."
20230809-003546,"The person is using Gmail to check their inbox, chat, and starred messages, and is also drafting an email and planning the next steps for an MVP."
20230809-003619,"The person is using Gmail to check their inbox, chat, and starred messages, and is also drafting an email and planning the next steps for an MVP."
20230809-003652,"The person is using Gmail to check their inbox, compose a new email, and review their sent emails."
20230809-003726,"The person is checking their Gmail inbox, composing a new email, and organizing their tasks and notes."
20230809-003758,"The person is using the Chrome browser to access various websites and social media platforms, including Google Docs and Twitter. They are also viewing trending topics and profiles."
20230809-003831,"The person is browsing Google Docs and Twitter, looking at trending topics and messages."
20230809-003904,"The person is using Google Chrome and browsing through various tabs and websites, including Google Docs, Twitter, and a website about top articles. They are also looking at trending topics and messages."
20230809-003938,"The person is browsing Twitter and reading tweets about various topics such as physics, universities, and personal experiences."
20230809-004012,"The person is using Google Docs in a new tab, browsing Twitter, and exploring trending topics and profiles. They are also reading posts about various topics and following different accounts."
20230809-004046,"The person is using Chrome and has multiple tabs open, including Google Docs, Twitter, and a search for GPT-4. They are also engaged in a conversation about cooking dinner with their sister."
20230809-004120,"The person is accessing their email on mail.google.com and reviewing notes about the next steps for an MVP."
